features,lookback,arch,lr,hidden,dropout,scaler,horizon,epochs,batch,val_MAE,val_RMSE,val_MAPE,test_MAE,test_RMSE,test_MAPE
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.001,128,0.2,minmax,1,100,64,5.456850528717041,6.917321629900849,1.0734175331890583,12.246789932250977,14.210269083888715,2.036832831799984
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.001,128,0.2,minmax,1,100,64,5.652657508850098,7.057996816468487,1.098000444471836,10.7489013671875,12.776013334512172,1.798112876713276
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.0005,128,0.2,minmax,1,100,64,5.95121955871582,7.343107934033067,1.1516707018017769,13.658533096313477,15.636764126058319,2.260849252343178
['close'],40,lstm,0.001,128,0.2,minmax,1,100,64,5.710486888885498,7.469273504959805,1.13243218511343,7.055839538574219,10.646405368274543,1.2249360792338848
['close'],60,lstm,0.001,128,0.2,minmax,1,100,64,5.833003044128418,7.645346339322592,1.1338036507368088,7.498687744140625,11.259639763769677,1.3042113743722439
['close'],60,lstm,0.0005,128,0.2,minmax,1,100,64,5.784867286682129,7.668893269612825,1.1256643570959568,11.810587882995605,14.466318408155297,1.9844816997647285
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.001,128,0.2,minmax,1,100,64,6.016696453094482,7.683331855999962,1.1776817962527275,19.803028106689453,22.66738411759008,3.241732344031334
['close'],40,lstm,0.0005,128,0.2,minmax,1,100,64,5.895332336425781,7.708469231584641,1.1731205508112907,7.262940406799316,11.113508482958082,1.2625551782548428
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.001,64,0.2,minmax,1,100,64,6.301551342010498,7.808669715347722,1.2299908325076103,19.468610763549805,21.61039531778666,3.196372464299202
['close'],60,lstm,0.001,64,0.2,minmax,1,100,64,6.131468296051025,7.9329852383109705,1.1910464614629745,11.08953857421875,13.921784577252648,1.8685352057218552
['close'],60,stacked,0.001,128,0.2,minmax,1,100,64,6.20902681350708,8.007718654175706,1.1999241076409817,15.360882759094238,17.90399592460743,2.5370093062520027
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.0005,128,0.2,minmax,1,100,64,6.542198657989502,8.129520508537418,1.284016389399767,14.80533504486084,16.77009402080969,2.449377067387104
['close'],40,lstm,0.0005,64,0.2,minmax,1,100,64,6.425022602081299,8.347962876767872,1.2741414830088615,12.957785606384277,15.684262614162005,2.167155221104622
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.0005,64,0.2,minmax,1,100,64,6.931501865386963,8.364872060870182,1.335064135491848,18.78738784790039,20.63554787694382,3.087712824344635
['close'],60,lstm,0.0005,64,0.2,minmax,1,100,64,6.596736907958984,8.407064518943791,1.290676835924387,12.101204872131348,15.190054219534005,2.051197364926338
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.001,64,0.2,minmax,1,100,64,6.899548530578613,8.845873250944608,1.3242374174296856,27.767614364624023,31.452883405368716,4.512540623545647
['close'],60,stacked,0.0005,128,0.2,minmax,1,100,64,6.945444107055664,8.854469300128272,1.3456358574330807,17.34042739868164,20.02053160610416,2.873150445520878
['close'],40,stacked,0.0005,128,0.2,minmax,1,100,64,7.2810468673706055,9.00140454670695,1.4368289150297642,16.46544647216797,18.983063226284767,2.734667621552944
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.0005,128,0.2,minmax,1,100,64,7.233948230743408,9.010903852812374,1.3961462303996086,21.089740753173828,24.03393571427636,3.4512195736169815
['close'],40,stacked,0.001,128,0.2,minmax,1,100,64,7.369470119476318,9.156649948602928,1.4407641254365444,18.636550903320312,21.067052694397372,3.071393631398678
['close'],40,lstm,0.001,64,0.2,minmax,1,100,64,8.795317649841309,10.256860809455825,1.7305856570601463,19.988162994384766,22.19030709575481,3.287375718355179
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.0005,128,0.2,minmax,1,100,64,8.708218574523926,10.396535927391911,1.7074709758162498,23.669979095458984,26.333357927656962,3.880400210618973
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.001,128,0.2,minmax,1,100,64,9.323162078857422,11.186432004277687,1.7904801294207573,28.942928314208984,31.65115469081213,4.72918301820755
['close'],60,stacked,0.0005,64,0.2,minmax,1,100,64,9.738430976867676,11.935194501886073,1.8683405593037605,28.088987350463867,31.095604922686622,4.5889779925346375
['close'],40,stacked,0.0005,64,0.2,minmax,1,100,64,11.17601203918457,12.859854966171918,2.1922284737229347,27.58510398864746,30.473261885485876,4.517633467912674
['close'],40,stacked,0.001,64,0.2,minmax,1,100,64,11.607240676879883,13.465819427226837,2.2655775770545006,28.580631256103516,31.033426291070107,4.688189551234245
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.001,64,0.2,minmax,1,100,64,11.332210540771484,13.792122425182098,2.160870283842087,42.34756088256836,46.340960490052694,6.8900927901268005
['close'],60,stacked,0.001,64,0.2,minmax,1,100,64,11.846916198730469,13.80799371044241,2.2787800058722496,30.174848556518555,33.04843376938422,4.931048676371574
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.001,64,0.2,minmax,1,100,64,11.705010414123535,14.459207440574684,2.2467482835054398,44.30243682861328,48.27605402866026,7.224465161561966
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.0005,64,0.2,minmax,1,100,64,13.300020217895508,15.552236336093628,2.5500381365418434,41.44180679321289,44.863253870529306,6.759641319513321
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.0005,64,0.2,minmax,1,100,64,15.574882507324219,18.623902973407336,2.9926270246505737,56.74855422973633,61.49504553214023,9.250561892986298
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.0005,64,0.2,minmax,1,100,64,15.486004829406738,18.67054617394986,3.044596314430237,65.05081939697266,70.50112546198288,10.59485599398613
